frame,particles,delta,physMem,virtMem
178,417,0.0166754,62750720,52277248
179,421,0.0166817,62750720,52277248
180,423,0.0166446,62750720,52277248
181,425,0.016685,62750720,52277248
182,425,0.0165554,62750720,52277248
183,430,0.0167787,62750720,52277248
184,430,0.0165518,62750720,52277248
185,436,0.016791,62750720,52277248
186,439,0.016561,62750720,52277248
187,439,0.0166576,62750720,52277248
188,452,0.0166617,62750720,52277248
189,454,0.0167656,62750720,52277248
190,454,0.0165906,62750720,52277248
191,455,0.0167183,62750720,52277248
192,455,0.0166442,62750720,52277248
193,455,0.0167148,62750720,52277248
194,455,0.0166834,62750720,52277248
195,455,0.0166835,62750720,52277248
196,455,0.01656,62750720,52277248
197,455,0.0167565,62750720,52277248
198,457,0.0166103,62750720,52277248
199,462,0.0166604,62750720,52277248
200,464,0.0167439,62750720,52277248
201,464,0.0166192,62750720,52277248
202,465,0.0166448,62750720,52277248
203,465,0.0166461,62750720,52277248
204,474,0.016722,62750720,52277248
205,475,0.0166791,62779392,52305920
206,478,0.0166445,62779392,52305920
207,478,0.0166345,62779392,52305920
208,478,0.0166363,62779392,52305920
209,483,0.0167372,62779392,52305920
210,483,0.0166317,62779392,52305920
211,484,0.0166315,62779392,52305920
212,488,0.0167622,62779392,52305920
213,488,0.0166557,62779392,52305920
214,492,0.0166873,62779392,52305920
215,493,0.0165886,62779392,52305920
216,496,0.0166299,62779392,52305920
217,501,0.0167546,62779392,52305920
218,501,0.0166667,62779392,52305920
219,501,0.0166744,62779392,52305920
220,502,0.0165978,62779392,52305920
221,504,0.0167891,62779392,52305920
222,505,0.0167666,62779392,52305920
223,507,0.0165121,62779392,52305920
224,512,0.0166916,62779392,52305920
225,515,0.0165171,62779392,52305920
226,518,0.016757,62779392,52305920
227,522,0.0167269,62779392,52305920
228,524,0.0165502,62779392,52305920
229,525,0.0167663,62779392,52305920
230,526,0.0166782,62779392,52305920
231,526,0.0165832,62779392,52305920
232,536,0.0167428,62779392,52305920
233,537,0.0166443,62779392,52305920
234,539,0.0166506,62779392,52305920
235,542,0.0167071,62779392,52305920
236,546,0.0165988,62779392,52305920
237,548,0.0166434,62779392,52305920
238,550,0.0167427,62779392,52305920
239,550,0.0166916,62779392,52305920
240,551,0.0166513,62779392,52305920
241,551,0.0165709,62779392,52305920
242,551,0.0166996,62779392,52305920
243,552,0.0166735,62779392,52305920
244,552,0.0167328,62779392,52305920
245,554,0.0165694,62779392,52305920
246,554,0.0167842,62779392,52305920
247,555,0.0165121,62779392,52305920
