frame,particles,delta,physMem,virtMem
156,364,0.0167862,65323008,52867072
157,366,0.0168764,65323008,52867072
158,367,0.0168839,65323008,52867072
159,371,0.0168497,65323008,52867072
160,377,0.0168924,65323008,52867072
161,377,0.0167809,65323008,52867072
162,379,0.0168062,65323008,52867072
163,382,0.0168636,65323008,52867072
164,382,0.0200204,65323008,52867072
165,384,0.0166907,65323008,52867072
166,385,0.0168564,65323008,52867072
167,387,0.0169387,65323008,52867072
168,387,0.0167751,65323008,52867072
169,395,0.0167929,65323008,52867072
170,397,0.0168618,65323008,52867072
171,399,0.0168018,65323008,52867072
172,400,0.0168756,65323008,52867072
173,403,0.0168755,65323008,52867072
174,403,0.0167681,65323008,52867072
175,405,0.0168908,65323008,52867072
176,413,0.0168033,65323008,52867072
177,415,0.0168704,65323008,52867072
178,417,0.0167981,65323008,52867072
179,421,0.0168805,65323008,52867072
180,423,0.0166542,65323008,52867072
181,425,0.016889,65323008,52867072
182,425,0.0167841,65323008,52867072
183,430,0.016838,65323008,52867072
184,430,0.0167524,65323008,52867072
185,436,0.016881,65323008,52867072
186,439,0.0167666,65323008,52867072
187,439,0.0167219,65323008,52867072
188,452,0.0168021,65335296,52879360
189,454,0.0167339,65335296,52879360
190,454,0.0167816,65335296,52879360
191,455,0.0168044,65335296,52879360
192,455,0.0167714,65335296,52879360
193,455,0.0167744,65335296,52879360
194,455,0.0167586,65335296,52879360
195,455,0.0167851,65335296,52879360
196,455,0.0167889,65335296,52879360
197,455,0.0167484,65335296,52879360
198,457,0.0167837,65335296,52879360
199,462,0.0168141,65335296,52879360
200,464,0.0168037,65335296,52879360
201,464,0.0167689,65335296,52879360
202,465,0.0168645,65335296,52879360
203,465,0.0167898,65335296,52879360
204,474,0.0168456,65335296,52879360
205,475,0.0166747,65363968,52908032
206,478,0.0168244,65363968,52908032
207,478,0.016863,65363968,52908032
208,478,0.0168489,65363968,52908032
209,483,0.0166689,65363968,52908032
210,483,0.0167932,65363968,52908032
211,484,0.0169064,65363968,52908032
212,488,0.0167664,65363968,52908032
213,488,0.0168696,65363968,52908032
214,492,0.0168482,65363968,52908032
215,493,0.0167456,65363968,52908032
216,496,0.016765,65363968,52908032
217,501,0.0169236,65363968,52908032
218,501,0.0168198,65363968,52908032
219,501,0.0168519,65363968,52908032
220,502,0.0167955,65363968,52908032
221,504,0.0167165,65363968,52908032
222,505,0.0167695,65363968,52908032
223,507,0.0168528,65363968,52908032
224,512,0.0168008,65363968,52908032
225,515,0.0168611,65363968,52908032
226,518,0.0300402,65363968,52908032
227,522,0.0166282,65363968,52908032
228,524,0.0168569,65363968,52908032
229,525,0.0167593,65363968,52908032
230,526,0.0168492,65363968,52908032
231,526,0.0168089,65363968,52908032
232,536,0.0168657,65363968,52908032
233,537,0.0167651,65363968,52908032
234,539,0.0167084,65363968,52908032
235,542,0.0168744,65363968,52908032
236,546,0.016813,65363968,52908032
237,548,0.0167926,65363968,52908032
238,550,0.01677,65363968,52908032
239,550,0.0168634,65363968,52908032
240,551,0.0168549,65363968,52908032
241,551,0.0167808,65363968,52908032
242,551,0.0167812,65363968,52908032
243,552,0.0168499,65363968,52908032
244,552,0.0167865,65363968,52908032
245,554,0.0168476,65363968,52908032
246,554,0.0167895,65363968,52908032
247,555,0.0168476,65363968,52908032
248,561,0.016882,65363968,52908032
249,561,0.016846,65363968,52908032
250,563,0.016852,65363968,52908032
251,564,0.0166177,65363968,52908032
252,566,0.0167474,65363968,52908032
253,566,0.0167348,65363968,52908032
254,566,0.0167615,65363968,52908032
255,567,0.0167703,65363968,52908032
256,567,0.016743,65363968,52908032
257,567,0.0167945,65363968,52908032
258,568,0.0168394,65363968,52908032
259,569,0.0167873,65363968,52908032
260,573,0.0168522,65363968,52908032
261,574,0.0168681,65363968,52908032
262,575,0.0168575,65363968,52908032
263,577,0.0167623,65363968,52908032
264,580,0.0168692,65363968,52908032
265,583,0.016894,65363968,52908032
266,587,0.0168399,65363968,52908032
267,593,0.016862,65363968,52908032
268,599,0.0167912,65363968,52908032
269,600,0.0168666,65363968,52908032
270,600,0.0168011,65363968,52908032
271,603,0.016867,65363968,52908032
272,603,0.0167885,65363968,52908032
273,603,0.0167778,65363968,52908032
274,603,0.0167891,65363968,52908032
275,603,0.0168252,65363968,52908032
276,605,0.0167909,65363968,52908032
277,607,0.0168511,65363968,52908032
278,607,0.0167942,65363968,52908032
279,607,0.0167647,65363968,52908032
280,609,0.0167742,65363968,52908032
281,612,0.0167645,65363968,52908032
282,612,0.0168177,65363968,52908032
283,612,0.0168458,65363968,52908032
284,613,0.0168887,65363968,52908032
285,614,0.0168474,65363968,52908032
286,615,0.0168712,65363968,52908032
287,615,0.0168566,65363968,52908032
288,618,0.0169194,65363968,52908032
289,623,0.0166697,65363968,52908032
290,626,0.0168621,65363968,52908032
291,626,0.0168495,65363968,52908032
292,628,0.0168765,65363968,52908032
293,629,0.0167872,65363968,52908032
294,630,0.0167704,65363968,52908032
295,630,0.0167828,65363968,52908032
296,637,0.0167383,65363968,52908032
297,637,0.0167507,65363968,52908032
298,639,0.0167548,65380352,52928512
299,640,0.0167479,65380352,52928512
300,643,0.0167387,65380352,52928512
301,643,0.016763,65380352,52928512
302,652,0.0167322,65380352,52928512
303,656,0.0167548,65380352,52928512
304,658,0.016747,65380352,52928512
305,660,0.0168547,65380352,52928512
306,661,0.0166653,65380352,52928512
307,661,0.0167391,65380352,52928512
308,662,0.0167909,65380352,52928512
309,664,0.0167415,65380352,52928512
310,664,0.0167482,65380352,52928512
311,667,0.0167213,65380352,52928512
312,667,0.0167772,65380352,52928512
313,672,0.0167781,65380352,52928512
314,675,0.0167902,65380352,52928512
315,675,0.0168502,65368064,52916224
316,675,0.0167667,65368064,52916224
317,675,0.0167864,65368064,52916224
318,675,0.0167946,65368064,52916224
319,677,0.0168304,65368064,52916224
320,678,0.0168005,65368064,52916224
321,682,0.0168531,65368064,52916224
322,684,0.0168765,65368064,52916224
323,684,0.0168527,65368064,52916224
324,684,0.0168005,65368064,52916224
325,684,0.0167371,65368064,52916224
326,688,0.0167565,65368064,52916224
327,692,0.0168528,65368064,52916224
328,692,0.0168587,65368064,52916224
329,693,0.0167635,65368064,52916224
330,693,0.0168276,65368064,52916224
331,696,0.0168626,65368064,52916224
332,696,0.0167973,65368064,52916224
333,697,0.0167824,65368064,52916224
334,697,0.0168506,65368064,52916224
335,698,0.0167963,65368064,52916224
336,703,0.0168566,65368064,52916224
337,707,0.0167914,65368064,52916224
338,707,0.0168022,65368064,52916224
339,710,0.0167288,64303104,51851264
340,714,0.0167314,64348160,51896320
341,715,0.0167401,64348160,51896320
342,716,0.0167422,64348160,51896320
343,721,0.0167542,64348160,51896320
344,731,0.0167469,64348160,51896320
345,737,0.0167516,64348160,51896320
346,740,0.0167181,64348160,51896320
347,757,0.0169733,64348160,51896320
348,757,0.0167369,64348160,51896320
349,758,0.016752,64348160,51896320
350,758,0.0167468,64348160,51896320
351,760,0.0167503,53862400,41410560
352,761,0.0167668,53862400,41410560
353,769,0.0167345,53862400,41410560
354,770,0.016725,53862400,41410560
355,772,0.016744,53862400,41410560
356,773,0.0167634,53862400,41410560
