frame,particles,delta,physMem,virtMem
156,364,0.0165883,62754816,52285440
157,366,0.0166237,62754816,52285440
158,367,0.0167285,62754816,52285440
159,371,0.0166246,62754816,52285440
160,377,0.0167473,62754816,52285440
161,377,0.016598,62754816,52285440
162,379,0.0166824,62754816,52285440
163,382,0.0166937,62754816,52285440
164,382,0.0167121,62754816,52285440
165,384,0.0165549,62754816,52285440
166,385,0.0167719,62754816,52285440
167,387,0.0165562,62754816,52285440
168,387,0.0166866,62754816,52285440
169,395,0.016669,62754816,52285440
170,397,0.0167159,62754816,52285440
171,399,0.0166089,62754816,52285440
172,400,0.0167883,62754816,52285440
173,403,0.0165661,62754816,52285440
174,403,0.0167238,62754816,52285440
175,405,0.0166274,62754816,52285440
176,413,0.0166398,62754816,52285440
177,415,0.0167295,62754816,52285440
178,417,0.0166093,62754816,52285440
179,421,0.0167721,62754816,52285440
180,423,0.0165493,62754816,52285440
181,425,0.0166796,62754816,52285440
182,425,0.0169223,62754816,52285440
183,430,0.021498,62754816,52285440
184,430,0.0121721,62754816,52285440
185,436,0.016078,62754816,52285440
186,439,0.0166343,62754816,52285440
187,439,0.0167566,62754816,52285440
188,452,0.0166494,62763008,52297728
189,454,0.016634,62763008,52297728
190,454,0.0167505,62763008,52297728
191,455,0.0165909,62763008,52297728
192,455,0.0166835,62763008,52297728
193,455,0.0166541,62763008,52297728
194,455,0.0166443,62763008,52297728
195,455,0.0166933,62763008,52297728
196,455,0.0166503,62763008,52297728
197,455,0.0166682,62763008,52297728
198,457,0.0167166,62763008,52297728
199,462,0.0167352,62763008,52297728
200,464,0.0166301,62763008,52297728
201,464,0.0165954,62763008,52297728
202,465,0.0167031,62763008,52297728
203,465,0.0165947,62763008,52297728
204,474,0.0167424,62763008,52297728
205,475,0.01661,62791680,52326400
206,478,0.0167695,62791680,52326400
207,478,0.0165819,62791680,52326400
208,478,0.0167367,62791680,52326400
209,483,0.016569,62791680,52326400
210,483,0.0166961,62791680,52326400
211,484,0.0167534,62791680,52326400
212,488,0.0166688,62791680,52326400
213,488,0.0165393,62791680,52326400
214,492,0.0166993,62791680,52326400
215,493,0.0167455,62791680,52326400
216,496,0.0165753,62791680,52326400
217,501,0.0166835,62791680,52326400
218,501,0.0166867,62791680,52326400
219,501,0.0166384,62791680,52326400
220,502,0.0166867,62791680,52326400
221,504,0.0166947,62791680,52326400
222,505,0.0166402,62791680,52326400
223,507,0.0167351,62791680,52326400
224,512,0.0165841,62791680,52326400
225,515,0.0167142,62791680,52326400
226,518,0.0167096,62791680,52326400
227,522,0.0165605,62791680,52326400
228,524,0.0166818,62791680,52326400
229,525,0.0167509,62791680,52326400
230,526,0.0166627,62791680,52326400
231,526,0.0166162,62791680,52326400
232,536,0.0167419,62791680,52326400
233,537,0.016553,62791680,52326400
234,539,0.0167461,62791680,52326400
235,542,0.0165951,62791680,52326400
236,546,0.0167663,62791680,52326400
237,548,0.016599,62791680,52326400
238,550,0.0167125,62791680,52326400
239,550,0.0165945,62791680,52326400
240,551,0.016713,62791680,52326400
241,551,0.0166192,62791680,52326400
242,551,0.016736,62791680,52326400
243,552,0.0166479,62791680,52326400
244,552,0.0168506,62791680,52326400
245,554,0.016433,62791680,52326400
246,554,0.0167399,62791680,52326400
247,555,0.0166009,62791680,52326400
248,561,0.016679,62791680,52326400
249,561,0.0166722,62791680,52326400
250,563,0.0166799,62791680,52326400
251,564,0.0166309,62791680,52326400
252,566,0.0167163,62791680,52326400
253,566,0.0165923,62791680,52326400
254,566,0.0167189,62791680,52326400
255,567,0.0166103,62791680,52326400
256,567,0.0167526,62791680,52326400
257,567,0.0165789,62791680,52326400
258,568,0.0167387,62791680,52326400
259,569,0.0166195,62791680,52326400
260,573,0.0168073,62791680,52326400
261,574,0.0165812,62791680,52326400
262,575,0.0167125,62791680,52326400
263,577,0.01658,62791680,52326400
264,580,0.0167176,62791680,52326400
265,583,0.0166104,62791680,52326400
266,587,0.0167584,62791680,52326400
267,593,0.0165501,62791680,52326400
268,599,0.0167737,62791680,52326400
269,600,0.0166007,62791680,52326400
270,600,0.0167724,62791680,52326400
271,603,0.0165542,62791680,52326400
272,603,0.0167691,62791680,52326400
273,603,0.0165371,62791680,52326400
274,603,0.0167318,62791680,52326400
275,603,0.0166338,62791680,52326400
276,605,0.0167066,62791680,52326400
277,607,0.0166053,62791680,52326400
278,607,0.0167558,62791680,52326400
279,607,0.016612,62791680,52326400
280,609,0.0167418,62791680,52326400
281,612,0.0165763,62791680,52326400
282,612,0.0166854,62791680,52326400
283,612,0.0182699,62791680,52326400
284,613,0.0150831,62791680,52326400
285,614,0.0166981,62791680,52326400
286,615,0.0165737,62791680,52326400
287,615,0.0167612,62791680,52326400
288,618,0.0166261,62791680,52326400
289,623,0.0167351,62791680,52326400
290,626,0.016655,62791680,52326400
291,626,0.0165741,62791680,52326400
292,628,0.0167508,62791680,52326400
293,629,0.0165843,62791680,52326400
294,630,0.0166523,62791680,52326400
295,630,0.0167896,62791680,52326400
296,637,0.0166055,62791680,52326400
297,637,0.016671,62791680,52326400
298,639,0.0167142,62791680,52326400
299,640,0.0165675,62808064,52346880
300,643,0.0166622,62808064,52346880
301,643,0.0167487,62808064,52346880
302,652,0.0166799,62808064,52346880
303,656,0.0165911,62808064,52346880
304,658,0.0166849,62808064,52346880
305,660,0.0166564,62808064,52346880
306,661,0.0166492,62808064,52346880
307,661,0.0166688,62808064,52346880
308,662,0.0166682,62808064,52346880
309,664,0.0166607,62808064,52346880
310,664,0.0166859,62808064,52346880
311,667,0.0166095,62808064,52346880
312,667,0.0167566,62808064,52346880
